raw_name,canonical_name,product_id
УС Добруджа 650г,УС Добруджа 650г,99
Чушки Сиврия 400г,Чушки Сиврия 400гр,100
Чушки Сиврия 400гр,Чушки Сиврия 400гр,100
Чушки Сиврия кг,Чушки Сиврия 400гр,100
Aile теч.сапун,Aile теч.сапун,101
Aquafresh четка,Aquafresh четка 2,102
Aquafresh четка 2,Aquafresh четка 2,102
BIOфурми без костилк,BIOфурми без костилк,103
Barni мляко 30 гр.,Barni мляко 30 гр.,104
Colgate четка зъби,Colgate четка зъби,105
Domestos Fresh 435мл,Domestos Fresh 435мл,106
Dove течен сапун 500,Dove течен сапун 500,107
KLC Носни кърпички,KLC Носни кърпички,108
KLC тоал. хартия 4пл,KLC тоал. хартия 4пл,109
Krina Ориз балдо1кг,Krina Ориз балдо1кг,110
Magic Clean M 3 бр,Magic Clean M 3 бр,111
Pom Bar снакс 50 г,Pom Bar снакс 50 г,112
Pom Bar снакс 80 г,Pom Bar снакс 80 г,113
Premium Чай 20бр,Premium Чай 20бр,114
Ricola бонбони 40г,Ricola бонбони 40г,115
Rois лешник 140г,Rois лешник 140г,116
Safeguard теч. сапун,Safeguard теч. сапун,117
"San Pellegrino 0,75л","San Pellegrino 0,75л",118
Vileda Гъба 1 бр,Vileda Гъба 1 бр,119
Weid.Йогурт плод.1кг,Weid.Йогурт ягода1кг,120
Weid.Йогурт ягода1кг,Weid.Йогурт ягода1кг,120
Zebra тоал.х-я 30бр,Zebra тоал.х-я 30бр,121
bevola Kids,bevola Kids,122
БЕБО кл. за уши бебе,БЕБО кл. за уши бебе,123
Балкан Пр.мляко,Балкан Пр.мляко,124
Брей! Краставици,Брей! Краставици,125
Бял хляб 450 г,Бял хляб 450 г,126
Ведраре КМ 2% 400г,Ведраре КМ 2% 400г,127
"Верея КМ 4,5% 400г","Верея КМ 4,5% 400г",128
Златна Добруджа250г,Златна Добруджа250г,129
ЗлатнаДобр.солети60г,ЗлатнаДобр.солети60г,130
Кн.КРЪГЧО. Помисли,Кн.КРЪГЧО. Помисли,131
Кн.УНД. В гората,Кн.УНД. В гората,132
Кроасан с кайс.90г,Кроасан с кайс.90г,133
Кроасан с масло65г,Кроасан с масло65г,134
Кроки снакс 50г,Кроки снакс 50г,135
Маджар.Кашкав. ЗС,Маджар.Кашкав. ЗС,136
Майонеза трапезна,Майонеза трапезна,137
Микс бейби салат 200,Микс бейби салат 200,138
Мляно от св. плешка,Мляно от св. плешка,139
Пражка шунка,Пражка шунка,140
Салфетки 33х33см.,Салфетки 33х33см.,141
Хляб Лимец 300 гр,Хляб Лимец 300 гр,142
нишесте 200 г,нишесте 200 г,143
Agiva клечки за уши,Agiva клечки за уши,144
BIC запалка J25,BIC запалка J25,145
BIC запалка J26,BIC запалка J25,145
Barni шоко 150 гр,Barni шоко 150 гр,146
Belvita бискв.225г,Belvita бискв.225г,147
Biosaurus снакс 60гр,Biosaurus снакс 60гр,148
"CR, Пиле жълто,кг","CR, Пиле жълто,кг",149
CostaSBНесп.92г,CostaWBНесп.92г,150
CostaWBНесп.92г,CostaWBНесп.92г,150
"Devin 8x0,5л","Devin 8x0,5л",151
Energizer батерии,Energizer батерии,152
Eмека 3пл 12 бр,Eмека 3пл 12 бр,153
"Ferrero Rocher212,5г","Ferrero Rocher212,5г",154
"Ferrero Rocher269,4г","Ferrero Rocher269,4г",155
Fino торби 35л 15бр,Fino торби 35л 15бр,156
Fino торби 35л15бр,Fino торби 35л 15бр,156
"Florina Круша 0,25","Florina Круша 0,25",157
Joli Салфетки,Joli Салфетки,158
Joly Салфетки,Joli Салфетки,158
KI.Кутия с магнити,KI.Кутия с магнити,159
KLC Гауда слайс150г,KLC Гауда слайс150г,160
