product_id,canonical_name,display_name,brand,category,in_basket
109,KLC тоал. хартия 4пл,,KLC,Хигиена и козметика,
110,Krina Ориз балдо1кг,,Krina,Основни храни,
111,Magic Clean M 3 бр,,Magic,,
112,Pom Bar снакс 50 г,,Pom bar,Захарни и снакс,
113,Pom Bar снакс 80 г,,Pom bar,Захарни и снакс,
114,Premium Чай 20бр,,Premium,Кафе и чай,
115,Ricola бонбони 40г,,Ricola,Напитки,
116,Rois лешник 140г,,Rois,Захарни и снакс,
117,Safeguard теч. сапун,,Safeguard,Хигиена и козметика,
118,"San Pellegrino 0,75л",,San pellegrino,,
119,Vileda Гъба 1 бр,,Vileda,Дом и бит,
120,Weid.Йогурт ягода1кг,,Weid,Мляко и млечни,
121,Zebra тоал.х-я 30бр,,Zebra,Хигиена и козметика,
122,bevola Kids,,Bevola,,
123,БЕБО кл. за уши бебе,,Бебо,Бебешко,
124,Балкан Пр.мляко,,Балкан,Мляко и млечни,
125,Брей! Краставици,,Брей,Плодове и зеленчуци,
126,Бял хляб 450 г,,Бял,Хляб и тестени,
127,Ведраре КМ 2% 400г,Ведраре кисело мляко 2% 400г,Ведраре,Мляко и млечни,1
128,"Верея КМ 4,5% 400г","Верея кисело мляко 4,5% 400г",Верея,Мляко и млечни,1
129,Златна Добруджа250г,,Златна добруджа,,
130,ЗлатнаДобр.солети60г,,ЗлатнаДобр,Захарни и снакс,
131,Кн.КРЪГЧО. Помисли,,,Дом и бит,
132,Кн.УНД. В гората,,,Дом и бит,
133,Кроасан с кайс.90г,,,Хляб и тестени,
134,Кроасан с масло65г,,,Мляко и млечни,
135,Кроки снакс 50г,,Кроки,Захарни и снакс,
136,Маджар.Кашкав. ЗС,,Маджар,Сирене и кашкавал,
137,Майонеза трапезна,,,Основни храни,
138,Микс бейби салат 200,,Микс,Плодове и зеленчуци,
139,Мляно от св. плешка,,,Месо и колбаси,
140,Пражка шунка,,,Месо и колбаси,
141,Салфетки 33х33см.,,,Дом и бит,
142,Хляб Лимец 300 гр,,,Хляб и тестени,
143,нишесте 200 г,,,Основни храни,
144,Agiva клечки за уши,,Agiva,Хигиена и козметика,
145,BIC запалка J25,,BIC,Дом и бит,
146,Barni шоко 150 гр,,Barni,Захарни и снакс,
147,Belvita бискв.225г,,Belvita,,
148,Biosaurus снакс 60гр,,Biosaurus,Захарни и снакс,
149,"CR, Пиле жълто,кг",,CR,Месо и колбаси,
150,CostaWBНесп.92г,,Costa,Кафе и чай,
151,"Devin 8x0,5л",,Devin,,
152,Energizer батерии,,Energizer,Дом и бит,
153,Eмека 3пл 12 бр,,Eмека,,
154,"Ferrero Rocher212,5г",,Ferrero,Захарни и снакс,
155,"Ferrero Rocher269,4г",,Ferrero,Захарни и снакс,
156,Fino торби 35л 15бр,,Fino,Дом и бит,
157,"Florina Круша 0,25",,Florina,Плодове и зеленчуци,
158,Joli Салфетки,,Joli,Дом и бит,
159,KI.Кутия с магнити,,KI,Дом и бит,
160,KLC Гауда слайс150г,,KLC,Сирене и кашкавал,
161,KLC Опашки скариди,,KLC,Месо и колбаси,
162,KLC кашу 150г,,KLC,Захарни и снакс,
163,KLC кувертюра бял,,KLC,,
164,KLC протеин. извара,,KLC,Сирене и кашкавал,
165,KU.Детски чорапи,,KU,Дом и бит,
166,Karmela бискв.100г,,Karmela,,
167,Karmela бисквити200г,,Karmela,Захарни и снакс,
168,Kinder шок. яйце 20г,,Kinder,Яйца,
169,L&B.Хавлиена кърпа,,L&B,Дом и бит,
170,Lindt бонбони 100г,,Lindt,Захарни и снакс,
171,Milka Кейк&Шок 35г,,Milka,Захарни и снакс,
172,"OY.Дам.ч-щи,40DEN",,OY,,
173,Olympus Цедено10%1кг,,Olympus,Мляко и млечни,
174,Papia Тоал. Хартия,,Papia,Хигиена и козметика,
175,Pfanner ябълка 2л,,Pfanner,Плодове и зеленчуци,
176,Raffaelo бонб.230г,,Raffaelo,Захарни и снакс,
177,Salza Гризини 235 г,,Salza,Захарни и снакс,
178,"Schweppes 1,25 л",,Schweppes,Напитки,
179,Somat гел 810мл,,Somat,Дом и бит,
180,"Somersby 0,33л",,Somersby,,
181,TED Възглавница,,TED,Дом и бит,
182,Tub-o-flo 60 гр.,,Tub-o-flo,,
183,Unicart Салфетки,,Unicart,Дом и бит,
184,Vitamin Aqua Zn,,Vitamin aqua,,
185,Weid.Цедено 10% 1кг,,Weid,Мляко и млечни,
186,Wet Hankies 15 бр.,,Wet,,
187,YoPRO пудинг карамел,,Yopro,Основни храни,
188,Zahira Пудра захар,,Zahira,Основни храни,
189,Zebra К.Р.,,Zebra,Дом и бит,
190,Zewa носни кърпи,,Zewa,Хигиена и козметика,
191,Авокадо консумация,,,Плодове и зеленчуци,
192,Активиа Киноа 280г,,Активиа,,
193,Активиа Пълн.орех280,,Активиа,,
194,Ананас бр,,,Плодове и зеленчуци,
195,БА Топ Сърлоин,,БА,Месо и колбаси,
196,БРЕЙ! Грах,,Брей,Плодове и зеленчуци,
197,Бейби спанак 125 г,,Бейби,Плодове и зеленчуци,
198,Био Ябълки 4 бр.,,,Плодове и зеленчуци,
199,Био лук 500 гр бр,,,Плодове и зеленчуци,
